ID,Name,Game,Type,Banner,Rarity,HP,HPFormula,AC,AttackBonus,AttackKind,AttackAbility,AttackRange,AttackTargets,Damage,DamageType,BonusDamage,BonusDamageType,Speed,Saves,SaveSTR,SaveDEX,SaveCON,SaveINT,SaveWIS,SaveCHA,SaveProficient,Attack,BaselineName,BaselineText,Healing,Special,CapstoneType,CapstoneText,ImageURL
11,Flavia,Sword of Convallaria,Support,2,5,93,12d10+18,15,8,Ranged Spell Attack,WIS,30 ft.,1 target,2d6+4,piercing,,,30 ft.,WIS +8 / CHA +7,+3,+4,+4,+6,+8,+7,WIS;CHA,"Vine Lash (Ranged Spell Attack, range 30 ft., one target): A piercing vine-whip from her plant attendants that deals magical piercing damage.",Empower (3 Options),"As an action, choose one:
- Inspire: One ally within 30 ft. gains advantage on next attack and deals +1d4 damage on next hit.
- Fortify: One ally within 30 ft. gains 1d6+4 temporary HP.
- Hex: One enemy within 30 ft. has disadvantage on their next attack roll.",1/Summon (3d8+4),"Vital Seeds (1/Summon): Flavia summons a Thorniflora plant ally within 10 ft. (HP 1d8+4, AC 12, speed 5 ft.). On its turn it can melee-attack adjacent enemies (+5 to hit, 1d8+2 piercing damage) or use a reaction to grant an adjacent ally 1d6 temporary HP.",Passive,"Abundance -At the start of each round, Flavia creates a Flower Field in a 10-ft radius around herself. Allies standing on the field have advantage on attack rolls; enemies standing on the field have disadvantage on saves against Flavia's abilities.",https://static.wikia.nocookie.net/convallaria/images/a/ad/Flavia_base.png
12,Falin,Sword of Convallaria,Support,2,5,75,12d10+18,15,8,Melee Weapon Attack,DEX,5 ft.,1 target,2d6+4,bludgeoning,,,30 ft.,DEX +8 / WIS +7,+3,+8,+4,+4,+7,+6,DEX;WIS,"Adaptive Strike (Melee Weapon Attack, reach 5 ft., one target): When adjacent, a bludgeoning strike that can Stun (DC 13 CON); when target is beyond 10 ft., a ranged force attack that imposes a -2 magic-defense penalty for 1 round.",Empower (3 Options),"As an action, choose one:
- Inspire: One ally within 30 ft. gains advantage on next attack and deals +1d4 damage on next hit.
- Fortify: One ally within 30 ft. gains 1d6+4 temporary HP.
- Hex: One enemy within 30 ft. has disadvantage on their next attack roll.",1/Summon (3d8+4),"Recovery Magic (Recharge 5-6): One ally within 30 ft. regains 3d6 HP, gains 1d6 temporary HP, and gains advantage on its next saving throw.",Passive,"Protective Power -Whenever Falin uses her Healing or Recovery Magic on an ally, that ally also gains a shield equal to 1d4+3 temporary HP that cannot be removed by hostile abilities until the end of Falin's next turn.",https://static.wikia.nocookie.net/convallaria/images/b/b2/Falin_base_art.png
13,Credenza,Sword of Convallaria,Support,3,3,53,10d8+16,14,8,Melee Spell Attack,WIS,5 ft.,1 target,2d6+3,psychic,,,30 ft.,WIS +8,+3,+4,+4,+6,+8,+7,WIS,"Hypnotic Touch (Melee Spell Attack, reach 5 ft., one target): A psychic-tinged hand-strike. On hit, target makes a DC 13 WIS save or has disadvantage on its next attack roll.",Command (4 Options),"As an action, choose one:
- War Cry: One ally within 30 ft. gains advantage on next attack and deals +1d6 damage on next hit.
- Aegis: One ally within 30 ft. gains 1d8+6 temporary HP and resistance to one damage type until Support's next turn.
- Curse: One enemy within 30 ft. has disadvantage on next attack and speed halved until end of their next turn.
- Redirect: One enemy within 30 ft. makes a DC 14 WIS save or must attack a different target on their next turn.",,,,,https://static.wikia.nocookie.net/convallaria/images/b/bc/Credenza_base.png
14,Yserinde,Sword of Convallaria,DPS,3,4,125,16d10+28,17,9,Melee Weapon Attack,DEX,5 ft.,1 target,2d12+5,piercing,,,35 ft.,DEX +9,+7,+9,+7,+5,+6,+5,DEX,"Charged Slash (Melee Weapon Attack, reach 5 ft., one target): A swift piercing strike from her curved blades. On hit, the target makes a DC 13 WIS save or falls unconscious until the end of its next turn. The effect ends early if the target takes any damage.",,,,"Plume Stratagem (Recharge 5-6): Yserinde plants a Blood Plume Blade at a point within 30 ft. The first enemy to move within 10 ft. of it triggers the trap: 3d8 cold damage and the creature is marked with Frostbite: its speed is halved until the end of its next turn, and the effect then ends.",,,https://static.wikia.nocookie.net/convallaria/images/6/6f/Yserinde_base.png
15,Geralt,Sword of Convallaria,Support,3,4,76,14d8+22,15,9,Melee Weapon Attack,DEX,5 ft.,all targets in reach,2d8+4,slashing,,,30 ft.,DEX +9,+4,+9,+5,+5,+8,+7,DEX,"Whirling Finisher (Melee Weapon Attack, reach 5 ft., all targets within reach): The witcher spins his silver sword in a sweeping cut. Make one attack roll against each enemy within 5 ft. (slashing damage).",Command (4 Options),"As an action, choose one:
- War Cry: One ally within 30 ft. gains advantage on next attack and deals +1d6 damage on next hit.
- Aegis: One ally within 30 ft. gains 1d8+6 temporary HP and resistance to one damage type until Support's next turn.
- Curse: One enemy within 30 ft. has disadvantage on next attack and speed halved until end of their next turn.
- Redirect: One enemy within 30 ft. makes a DC 14 WIS save or must attack a different target on their next turn.",1/Summon (3d8+4),"Witcher Signs (Recharge 5-6): Choose one sign -(Igni) 15-ft cone, DC 14 DEX save, 3d6 fire damage on a failed save and the target is Ignited (1d4 fire damage at the start of its next turn, then the effect ends); (Quen) self gains 2d6+2 temporary HP for 1 round; (Aard) 10-ft cone, DC 14 STR save, 2d6 force damage and pushed 10 ft. on a failed save; (Yrden) place a trap-rune in a 5-ft square, first enemy entering makes a DC 14 WIS save or has disadvantage on attacks for 1 round.",,,https://static.wikia.nocookie.net/convallaria/images/c/cb/Geralt_base.png
16,Yennefer,Sword of Convallaria,DPS,3,4,88,16d10+28,17,9,Ranged Spell Attack,WIS,60 ft.,1 target,2d12+5,force,,,35 ft.,WIS +9,+5,+6,+5,+7,+9,+7,WIS,"Dispelling Strike (Ranged Spell Attack, range 60 ft., one target): A focused magic bolt that removes one buff from the target on hit (target's choice if multiple).",,,,"Elemental Control (1/Summon): Yennefer unleashes mixed elements in a 15-ft radius within 60 ft. DC 14 DEX save. On a failed save, 3d6 fire damage plus 1d6 cold damage and the target is marked Vulnerable (the next attack roll against it has advantage; this ends after that attack or at the end of its next turn, whichever comes first). Half as much damage and no Vulnerable on a successful save.",,,https://static.wikia.nocookie.net/convallaria/images/3/30/Yennefer.png
17,Camelot,Sword of Convallaria,DPS,3,5,137,18d12+30,18,11,Melee Weapon Attack,DEX,5 ft.,1 target + 1 adjacent,3d10+6,slashing,,,40 ft.,DEX +11 / STR +9,+9,+11,+9,+7,+8,+7,DEX;STR,"Crushing (Melee Weapon Attack, reach 5 ft., one target plus one creature within 5 ft. of it): A wide axe-sweep that hits the primary target and one adjacent creature, knocking each back 5 ft.",,,,"Declaration of Conquest (Recharge 5-6): 15-ft radius around Camelot. DC 15 STR save. 3d8 slashing damage on a failed save and the target is marked with Coercion (disadvantage on saving throws against Camelot's next ability; the mark ends once that ability resolves or at the end of Camelot's next turn, whichever comes first); half as much damage and no mark on a successful save. Camelot gains 2d6+4 temporary HP regardless of result.",Ultimate,"Verdict -Army's Fall (1/Summon): Camelot leaps to a point within 30 ft. and lands with crushing force. 20-ft radius. DC 16 DEX save. 6d8 slashing damage on a failed save and one buff is dispelled; half as much damage on a successful save. If any creature fails, Camelot gains resistance to all damage until end of next round.",https://static.wikia.nocookie.net/convallaria/images/0/0d/Camelot_base.png
18,Lukamar,Sword of Convallaria,DPS,3,5,153,18d12+30,18,11,Melee Weapon Attack,DEX,5 ft.,1 target,3d10+6,piercing,,,40 ft.,DEX +11 / STR +9,+9,+11,+9,+7,+8,+7,DEX;STR,"Dance Strike (Melee Weapon Attack, reach 5 ft., one target): A graceful piercing thrust. On hit, the target makes a DC 14 CON save or is marked Vulnerable (the next attack roll against it has advantage; this ends after that attack or at the end of its next turn, whichever comes first).",,,,"Shatter the Shackles (Recharge 5-6): 20-ft cone. DC 14 DEX save. 4d6 force damage on a failed save, half as much damage on a successful save. Each creature that fails grants Lukamar one stack of Liberation (maximum 5). She gains +5 ft. speed per stack. Stacks persist until spent by her Ultimate and are not lost between rounds.",Ultimate,"Chapter of the Final Dance (1/Summon): Lukamar consumes all Liberation stacks. 30-ft radius centered on Lukamar. DC 16 DEX save. 5d8 force damage on a failed save (plus +1d8 per Liberation stack consumed, max 5), half as much damage on a successful save. A target that fails is also marked Vulnerable: the next attack roll against it has advantage, ending after that attack or at the end of its next turn, whichever comes first.",https://static.wikia.nocookie.net/convallaria/images/4/40/Lukamar_base.png
19,King Halo (King of Emeralds),Umamusume,DPS,1,3,17,4d6+4,12,4,Melee Weapon Attack,DEX,5 ft.,1 target,1d8+2,bludgeoning,,,30 ft.,DEX +4,+2,+4,+2,+0,+1,+0,DEX,"Galloping Hooves (Melee Weapon Attack, reach 5 ft., one target): A regal charging trample with bludgeoning force.",,,,,,,https://static.wikia.nocookie.net/umamusume/images/8/80/King_Halo_%28Race%29.png
20,Matikane Fukukitaru (Rising Fortune),Umamusume,Support,1,3,17,3d6+4,12,4,Melee Weapon Attack,DEX,5 ft.,1 target,1d6+1,bludgeoning,,,30 ft.,DEX +4,-1,+4,+0,+0,+3,+2,DEX,"Determined Stride (Melee Weapon Attack, reach 5 ft., one target): A bludgeoning gallop attack carried by lucky momentum.",Bolster (2 Options),"As an action, choose one:
- Rally: One ally within 30 ft. gains advantage on their next attack roll.
- Shield: One ally within 30 ft. gains 1d4+2 temporary HP.",,,,,https://static.wikia.nocookie.net/umamusume/images/9/97/Matikanefukukitaru_%28Race%29.png
21,Haru Urara (Bestest Prize),Umamusume,Tank,1,3,33,6d6+6,15,3,Melee Weapon Attack,STR,5 ft.,1 target,1d6+2,bludgeoning,,,25 ft.,CON +4,+3,+0,+4,-1,+1,+0,CON,"Cheerful Charge (Melee Weapon Attack, reach 5 ft., one target): A relentless bludgeoning trample fueled by pure pluck.",,,,,,,https://static.wikia.nocookie.net/umamusume/images/f/f4/Haru_Urara_%28Race%29.png
22,Kawakami Princess (Princess of Pink),Umamusume,DPS,1,4,37,6d8+8,13,5,Melee Weapon Attack,DEX,5 ft.,1 target,1d10+3,bludgeoning,,,30 ft.,DEX +5,+3,+5,+3,+1,+2,+1,DEX,"Regal Hoofbeats (Melee Weapon Attack, reach 5 ft., one target): A swift bludgeoning charge with royal poise.",,,,"Princess Daydream (Recharge 5-6): Kawakami Princess moves up to 30 ft. in a straight line, then makes one attack with advantage against a target at the end of the line. On hit, deals +2d8 bludgeoning damage.",,,https://static.wikia.nocookie.net/umamusume/images/d/dc/Kawakami_Princess_%28Race%29.png
23,Tosen Jordan (Jokester Vibes),Umamusume,DPS,1,4,27,6d8+8,13,5,Melee Weapon Attack,DEX,5 ft.,1 target,1d10+3,bludgeoning,,,30 ft.,DEX +5,+3,+5,+3,+1,+2,+1,DEX,"Stylish Sprint (Melee Weapon Attack, reach 5 ft., one target): A flashy bludgeoning charge layered with mocking psychic flair.",,,,"Pop & Polish (Recharge 5-6): When an ally within 30 ft. reduces an enemy below half HP, Tosen Jordan may immediately make a melee charge attack against that enemy as a reaction. On hit, deals +2d6 bludgeoning and target makes a DC 13 WIS save or has disadvantage on its next attack.",,,https://static.wikia.nocookie.net/umamusume/images/7/78/Tosen_Jordan_%28Race%29.png
24,Winning Ticket (Get To Winning!),Umamusume,DPS,1,5,62,8d10+16,14,6,Melee Weapon Attack,DEX,5 ft.,1 target,2d8+4,bludgeoning,,,30 ft.,DEX +6 / STR +4,+4,+6,+4,+2,+3,+2,DEX;STR,"Decisive Sprint (Melee Weapon Attack, reach 5 ft., one target): A determined bludgeoning charge with full speed momentum.",,,,"V is for Victory (Recharge 5-6): Winning Ticket dashes 30 ft. in a straight line and makes an attack against one target along that path with advantage. On hit, deals +1d10 bludgeoning damage.",Ultimate,"Our Ticket to Win! (1/Summon): Winning Ticket sheds any Restrained or Grappled condition, dashes up to 60 ft. in a straight line, and makes an attack against the target at the end of the line with advantage. On hit, deals 6d6 force damage and the target is knocked prone. If the attack misses, the recharge instantly refreshes.",https://static.wikia.nocookie.net/umamusume/images/0/0d/Winning_Ticket_%28Race%29.png
25,Nice Nature (Poinsetta Ribbon),Umamusume,Support,2,3,39,6d8+10,13,6,Melee Weapon Attack,DEX,5 ft.,1 target,1d8+2,bludgeoning,,,30 ft.,DEX +6,+1,+6,+2,+2,+5,+4,DEX,"Steady Trot (Melee Weapon Attack, reach 5 ft., one target): A patient bludgeoning charge that disrupts the target's footing.",Empower (3 Options),"As an action, choose one:
- Inspire: One ally within 30 ft. gains advantage on next attack and deals +1d4 damage on next hit.
- Fortify: One ally within 30 ft. gains 1d6+4 temporary HP.
- Hex: One enemy within 30 ft. has disadvantage on their next attack roll.",,,,,https://static.wikia.nocookie.net/umamusume/images/8/80/Nicenaturegame.png
26,Matikane Tannhauser (Clippety Tippety Clop),Umamusume,Tank,2,3,59,10d8+16,17,5,Melee Weapon Attack,STR,5 ft.,1 target,1d10+3,bludgeoning,,,25 ft.,CON +6,+5,+2,+6,+1,+3,+2,CON,"Steady Hoofbeats (Melee Weapon Attack, reach 5 ft., one target): A determined bludgeoning trample built for endurance.",,,,,,,https://static.wikia.nocookie.net/umamusume/images/7/78/Matikanetannhauser_%28Race%29.png
27,Admire Vega (Starry Nocturne),Umamusume,DPS,2,3,45,8d8+12,14,6,Melee Weapon Attack,DEX,5 ft.,1 target,2d6+3,bludgeoning,,,30 ft.,DEX +6,+4,+6,+4,+2,+3,+2,DEX,"Elegant Charge (Melee Weapon Attack, reach 5 ft., one target): A graceful starlit charge dealing bludgeoning damage with radiant shimmer.",,,,,,,https://static.wikia.nocookie.net/umamusume/images/4/4b/Admire_Vega_%28Race%29.png
28,Eishin Flash (Precise Choclatier),Umamusume,DPS,2,4,83,12d8+20,15,7,Melee Weapon Attack,DEX,5 ft.,1 target,2d8+4,bludgeoning,,,30 ft.,DEX +7,+5,+7,+5,+3,+4,+3,DEX,"Meticulous Charge (Melee Weapon Attack, reach 5 ft., one target): A precise bludgeoning strike calculated to expose weakness.",,,,"Schwarzes Schwert (Recharge 5-6): Eishin Flash makes one attack with advantage that ignores damage resistance. On hit, deals +2d8 force damage and the target is marked Vulnerable: the next attack roll against it has advantage, ending after that attack or at the end of its next turn, whichever comes first.",,,https://static.wikia.nocookie.net/umamusume/images/f/ff/Eishin_Flash_%28Race%29.png
29,Satono Diamond (Natural Brilliance),Umamusume,Support,2,4,42,10d8+14,14,7,Melee Weapon Attack,DEX,5 ft.,1 target,1d10+3,bludgeoning,,,30 ft.,DEX +7,+2,+7,+3,+3,+6,+5,DEX,"Diamond Hooves (Melee Weapon Attack, reach 5 ft., one target): A brilliant bludgeoning charge that crystallizes briefly in radiant light.",Empower (3 Options),"As an action, choose one:
- Inspire: One ally within 30 ft. gains advantage on next attack and deals +1d4 damage on next hit.
- Fortify: One ally within 30 ft. gains 1d6+4 temporary HP.
- Hex: One enemy within 30 ft. has disadvantage on their next attack roll.",1/Summon (2d8+3),"Briller Comme Diamant (Recharge 5-6): One ally within 30 ft. (or self) gains advantage on their next two attack rolls and +1d6 force damage on the next hit. If the chosen target is in the back half of the battlefield (further from initial position), the bonus damage becomes +2d6.",,,https://static.wikia.nocookie.net/umamusume/images/3/38/Satono_Diamond_%28Race%29.png
30,Mejiro Ryan (Down The Line),Umamusume,DPS,2,5,88,14d10+26,16,9,Melee Weapon Attack,DEX,5 ft.,1 target,2d10+5,bludgeoning,,,35 ft.,DEX +9 / STR +7,+7,+9,+7,+5,+6,+5,DEX;STR,"Refined Gallop (Melee Weapon Attack, reach 5 ft., one target): A graceful bludgeoning charge timed for the final stretch.",,,,"Sharp Final Spurt (Recharge 5-6): Mejiro Ryan moves up to 30 ft. and makes one attack at the end. On hit, deals +3d6 bludgeoning damage. If she moved at least 20 ft. before the attack, she has advantage on the roll.",Ultimate,"Down The Line! (1/Summon): Mejiro Ryan unleashes her final-stretch acceleration. She moves up to 60 ft. and makes one attack with advantage at the end. On hit, deals 6d8 piercing damage and the target makes a DC 16 STR save or is knocked prone.",https://static.wikia.nocookie.net/umamusume/images/6/6c/Mejiro_Ryan_%28Race%29.png
31,Vodka (Wild Top Gear),Umamusume,DPS,3,3,79,12d10+20,16,8,Melee Weapon Attack,DEX,5 ft.,1 target,1d10+4,bludgeoning,1d10,thunder,30 ft.,DEX +8,+6,+8,+6,+4,+5,+4,DEX,"Power Drive (Melee Weapon Attack, reach 5 ft., one target): An explosive bludgeoning charge with thunderous follow-through.",,,,,,,https://static.wikia.nocookie.net/umamusume/images/3/3b/Vodka_%28Race%29.png
32,Daiwa Scarlet (Peak Blue),Umamusume,DPS,3,3,75,12d10+20,16,8,Melee Weapon Attack,DEX,5 ft.,1 target,2d10+4,bludgeoning,,,30 ft.,DEX +8,+6,+8,+6,+4,+5,+4,DEX,"Crimson Charge (Melee Weapon Attack, reach 5 ft., one target): A fierce bludgeoning rush leading the pack.",,,,,,,https://static.wikia.nocookie.net/umamusume/images/2/2d/Daiwa_Scarlet_%28Race%29.png
33,Super Creek (Murmuring Stream),Umamusume,Support,3,4,74,14d8+22,15,9,Melee Weapon Attack,DEX,5 ft.,1 target,2d8+4,bludgeoning,,,30 ft.,DEX +9,+4,+9,+5,+5,+8,+7,DEX,"Patient Stride (Melee Weapon Attack, reach 5 ft., one target): A measured bludgeoning charge flowing like a steady stream.",Command (4 Options),"As an action, choose one:
- War Cry: One ally within 30 ft. gains advantage on next attack and deals +1d6 damage on next hit.
- Aegis: One ally within 30 ft. gains 1d8+6 temporary HP and resistance to one damage type until Support's next turn.
- Curse: One enemy within 30 ft. has disadvantage on next attack and speed halved until end of their next turn.
- Redirect: One enemy within 30 ft. makes a DC 14 WIS save or must attack a different target on their next turn.",1/Summon (3d8+4),"Swinging Maestro (Recharge 5-6): One ally within 30 ft. regains 2d8+3 HP and is cleansed of one condition of the player's choice (paralyzed, charmed, frightened, blinded, or restrained).",,,https://static.wikia.nocookie.net/umamusume/images/6/60/Super_Creek_%28Race%29.png
34,Manhattan Cafe (Creeping Shadow),Umamusume,Support,3,4,74,14d8+22,15,9,Melee Weapon Attack,DEX,5 ft.,1 target,2d8+4,bludgeoning,,,30 ft.,DEX +9,+4,+9,+5,+5,+8,+7,DEX,"Shadow Stride (Melee Weapon Attack, reach 5 ft., one target): A silent bludgeoning charge from the shadows, leaving a chill of necrotic energy.",Command (4 Options),"As an action, choose one:
- War Cry: One ally within 30 ft. gains advantage on next attack and deals +1d6 damage on next hit.
- Aegis: One ally within 30 ft. gains 1d8+6 temporary HP and resistance to one damage type until Support's next turn.
- Curse: One enemy within 30 ft. has disadvantage on next attack and speed halved until end of their next turn.
- Redirect: One enemy within 30 ft. makes a DC 14 WIS save or must attack a different target on their next turn.",1/Summon (3d8+4),"Manhattan Noir (Recharge 5-6): One enemy within 30 ft. is marked by shadow until the end of Manhattan Cafe's next turn. While marked, the target has disadvantage on its next attack roll and Manhattan Cafe gains advantage on her next attack against it. If she lands that attack, it deals +2d8 necrotic damage.",,,https://static.wikia.nocookie.net/umamusume/images/2/22/Manhattan_Cafe_%28Race%29.png/
35,Mihono Burbon (CODE:ICING),Umamusume,DPS,3,5,151,18d12+30,18,11,Melee Weapon Attack,DEX,5 ft.,1 target,2d10+6,bludgeoning,1d10,force,40 ft.,DEX +11 / STR +9,+9,+11,+9,+7,+8,+7,DEX;STR,"Mechanical Charge (Melee Weapon Attack, reach 5 ft., one target): A relentless precision-engineered bludgeoning charge with force-magic resonance.",,,,"Pyroclastic Vortex (Recharge 5-6): Mihono Burbon moves up to 40 ft. in a straight line and makes one attack with advantage at the end. On hit, deals 4d8 bludgeoning damage and the target is pushed 10 ft. away. If she ends her movement leading the formation (further from her starting position than any ally), she may immediately recharge this ability.",Passive,"CODE:ICING -Mihono Burbon ignores difficult terrain. The first attack she makes each round deals +1d6 force damage. Once ever, when she would be moved against her will, she may negate the forced movement.",https://static.wikia.nocookie.net/umamusume/images/0/0a/Mihono_Bourbon_%28Race%29.png
36,Oguri Cap (Starlight Beat),Umamusume,Tank,3,5,201,22d12+40,21,9,Melee Weapon Attack,STR,5 ft.,1 target,2d12+5,bludgeoning,,,30 ft.,CON +10 / STR +9,+9,+6,+10,+5,+7,+6,CON;STR,"Heavy Hoofbeats (Melee Weapon Attack, reach 5 ft., one target): A pounding bludgeoning trample that carries the weight of an underdog's resolve.",,,,"Climactic Last Spurt (Recharge 5-6): Oguri Cap dashes up to 30 ft. and makes one attack at the end. On hit, deals 4d6 bludgeoning damage. If she is below half her maximum HP when she activates this, she instead deals 4d8 bludgeoning damage and gains advantage on the attack roll.",Ultimate,The Grey Monster Awakens (1/Summon): Oguri Cap gains 20 temporary HP and +10 ft. speed until end of combat. Her next melee attack within 2 rounds deals +2d8 bludgeoning damage and knocks Large or smaller targets prone on hit.,https://static.wikia.nocookie.net/umamusume/images/3/39/Oguri_Cap_%28Race%29.png
37,Mulan,AFK Arena,DPS,1,3,18,4d6+4,12,4,Melee Weapon Attack,DEX,5 ft.,1 target,1d8+2,slashing,,,30 ft.,DEX +4,+2,+4,+2,+0,+1,+0,DEX,"Sword Slash (Melee Weapon Attack, reach 5 ft., one target): A disciplined slashing strike honed by years of military training.",,,,,,,https://static.wikia.nocookie.net/afk-arena/images/5/55/Mulan.png
